name,version,source,files,unsafe_blocks,unsafe_fns,unsafe_impls,total,location
crossbeam-deque,0.8.8,registry+https://github.com/rust-lang/crates.io-index,7,29,6,6,41,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-deque-0.8.8
crossbeam-epoch,0.9.21,registry+https://github.com/rust-lang/crates.io-index,18,87,40,11,138,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-epoch-0.9.21
crossbeam-utils,0.8.23,registry+https://github.com/rust-lang/crates.io-index,24,53,8,16,77,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crossbeam-utils-0.8.23
crunchy,0.2.4,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crunchy-0.2.4
crypto-common,0.1.7,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7
curve25519-dalek,4.1.3,registry+https://github.com/rust-lang/crates.io-index,50,33,2,0,35,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-4.1.3
curve25519-dalek-derive,0.1.1,registry+https://github.com/rust-lang/crates.io-index,2,2,3,0,5,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-derive-0.1.1
der,0.7.10,registry+https://github.com/rust-lang/crates.io-index,57,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/der-0.7.10
digest,0.10.7,registry+https://github.com/rust-lang/crates.io-index,14,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.10.7
displaydoc,0.2.7,registry+https://github.com/rust-lang/crates.io-index,17,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/displaydoc-0.2.7
ed25519,2.2.3,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-2.2.3
ed25519-dalek,2.2.0,registry+https://github.com/rust-lang/crates.io-index,15,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-2.2.0
either,1.18.0,registry+https://github.com/rust-lang/crates.io-index,5,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/either-1.18.0
equivalent,1.0.2,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/equivalent-1.0.2
errno,0.3.14,registry+https://github.com/rust-lang/crates.io-index,6,12,0,0,12,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/errno-0.3.14
fallible-iterator,0.3.0,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fallible-iterator-0.3.0
fallible-streaming-iterator,0.1.9,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fallible-streaming-iterator-0.1.9
fiat-crypto,0.2.9,registry+https://github.com/rust-lang/crates.io-index,29,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fiat-crypto-0.2.9
find-msvc-tools,0.1.12,registry+https://github.com/rust-lang/crates.io-index,10,40,6,2,48,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/find-msvc-tools-0.1.12
flate2,1.1.10,registry+https://github.com/rust-lang/crates.io-index,49,26,6,2,34,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/flate2-1.1.10
form_urlencoded,1.2.2,registry+https://github.com/rust-lang/crates.io-index,1,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/form_urlencoded-1.2.2
futures-channel,0.3.34,registry+https://github.com/rust-lang/crates.io-index,12,11,3,8,22,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-channel-0.3.34
futures-core,0.3.34,registry+https://github.com/rust-lang/crates.io-index,7,3,0,2,5,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-core-0.3.34
futures-task,0.3.34,registry+https://github.com/rust-lang/crates.io-index,7,27,24,12,63,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-task-0.3.34
futures-util,0.3.34,registry+https://github.com/rust-lang/crates.io-index,186,84,20,32,136,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/futures-util-0.3.34
generic-array,0.14.7,registry+https://github.com/rust-lang/crates.io-index,10,44,6,20,70,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/generic-array-0.14.7
getrandom,0.2.17,registry+https://github.com/rust-lang/crates.io-index,29,44,11,1,56,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/getrandom-0.2.17
glob,0.3.4,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/glob-0.3.4
half,2.7.1,registry+https://github.com/rust-lang/crates.io-index,14,53,31,0,84,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/half-2.7.1
hashbrown,0.14.5,registry+https://github.com/rust-lang/crates.io-index,32,182,96,26,304,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hashbrown-0.14.5
hashbrown,0.17.1,registry+https://github.com/rust-lang/crates.io-index,39,322,107,25,454,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hashbrown-0.17.1
hashlink,0.9.1,registry+https://github.com/rust-lang/crates.io-index,9,48,15,18,81,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hashlink-0.9.1
heck,0.5.0,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/heck-0.5.0
hermit-abi,0.5.3,registry+https://github.com/rust-lang/crates.io-index,2,0,2,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hermit-abi-0.5.3
hex,0.4.3,registry+https://github.com/rust-lang/crates.io-index,6,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hex-0.4.3
hmac,0.12.1,registry+https://github.com/rust-lang/crates.io-index,4,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hmac-0.12.1
http,1.5.0,registry+https://github.com/rust-lang/crates.io-index,24,52,3,10,65,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/http-1.5.0
http-body,1.1.0,registry+https://github.com/rust-lang/crates.io-index,4,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/http-body-1.1.0
http-body-util,0.1.5,registry+https://github.com/rust-lang/crates.io-index,19,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/http-body-util-0.1.5
httparse,1.10.1,registry+https://github.com/rust-lang/crates.io-index,12,50,28,0,78,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/httparse-1.10.1
httpdate,1.0.3,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/httpdate-1.0.3
hyper,1.11.1,registry+https://github.com/rust-lang/crates.io-index,64,44,5,11,60,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hyper-1.11.1
hyper-util,0.1.20,registry+https://github.com/rust-lang/crates.io-index,51,16,0,1,17,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hyper-util-0.1.20
icu_collections,2.3.0,registry+https://github.com/rust-lang/crates.io-index,25,12,3,0,15,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_collections-2.3.0
icu_locale_core,2.3.0,registry+https://github.com/rust-lang/crates.io-index,73,4,1,1,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_locale_core-2.3.0
icu_normalizer,2.3.0,registry+https://github.com/rust-lang/crates.io-index,14,35,0,0,35,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_normalizer-2.3.0
icu_normalizer_data,2.3.0,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_normalizer_data-2.3.0
icu_properties,2.3.0,registry+https://github.com/rust-lang/crates.io-index,16,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_properties-2.3.0
icu_properties_data,2.3.0,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_properties_data-2.3.0
icu_provider,2.3.1,registry+https://github.com/rust-lang/crates.io-index,19,13,3,3,19,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/icu_provider-2.3.1
idna,1.1.0,registry+https://github.com/rust-lang/crates.io-index,11,16,0,0,16,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/idna-1.1.0
idna_adapter,1.2.2,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/idna_adapter-1.2.2
indexmap,2.14.2,registry+https://github.com/rust-lang/crates.io-index,33,13,0,0,13,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/indexmap-2.14.2
is-terminal,0.4.17,registry+https://github.com/rust-lang/crates.io-index,1,6,1,0,7,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/is-terminal-0.4.17
itertools,0.10.5,registry+https://github.com/rust-lang/crates.io-index,69,6,4,3,13,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/itertools-0.10.5
itoa,1.0.18,registry+https://github.com/rust-lang/crates.io-index,4,12,1,0,13,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/itoa-1.0.18
js-sys,0.3.105,registry+https://github.com/rust-lang/crates.io-index,10,7,17,1,25,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/js-sys-0.3.105
libc,0.2.189,registry+https://github.com/rust-lang/crates.io-index,389,96,365,10,471,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/libc-0.2.189
libsqlite3-sys,0.30.1,registry+https://github.com/rust-lang/crates.io-index,8,3,412,0,415,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/libsqlite3-sys-0.30.1
litemap,0.8.3,registry+https://github.com/rust-lang/crates.io-index,17,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/litemap-0.8.3
lock_api,0.4.14,registry+https://github.com/rust-lang/crates.io-index,4,208,43,32,283,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/lock_api-0.4.14
log,0.4.34,registry+https://github.com/rust-lang/crates.io-index,12,3,2,1,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/log-0.4.34
matchit,0.7.3,registry+https://github.com/rust-lang/crates.io-index,8,4,0,2,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/matchit-0.7.3
memchr,2.8.3,registry+https://github.com/rust-lang/crates.io-index,45,113,218,2,333,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3
mime,0.3.17,registry+https://github.com/rust-lang/crates.io-index,5,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/mime-0.3.17
miniz_oxide,0.9.1,registry+https://github.com/rust-lang/crates.io-index,14,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/miniz_oxide-0.9.1
mio,1.2.3,registry+https://github.com/rust-lang/crates.io-index,64,105,28,21,154,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/mio-1.2.3
num-traits,0.2.19,registry+https://github.com/rust-lang/crates.io-index,21,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/num-traits-0.2.19
once_cell,1.21.4,registry+https://github.com/rust-lang/crates.io-index,18,35,5,9,49,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.4
oorandom,11.1.5,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/oorandom-11.1.5
parking_lot,0.12.5,registry+https://github.com/rust-lang/crates.io-index,15,40,27,19,86,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/parking_lot-0.12.5
parking_lot_core,0.9.12,registry+https://github.com/rust-lang/crates.io-index,18,55,81,0,136,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/parking_lot_core-0.9.12
percent-encoding,2.3.2,registry+https://github.com/rust-lang/crates.io-index,2,4,0,0,4,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/percent-encoding-2.3.2
pin-project-lite,0.2.17,registry+https://github.com/rust-lang/crates.io-index,58,44,2,0,46,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pin-project-lite-0.2.17
pkcs8,0.10.2,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pkcs8-0.10.2
pkg-config,0.3.34,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pkg-config-0.3.34
plotters,0.3.7,registry+https://github.com/rust-lang/crates.io-index,105,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/plotters-0.3.7
plotters-backend,0.3.7,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/plotters-backend-0.3.7
plotters-svg,0.3.7,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/plotters-svg-0.3.7
portable-atomic,1.15.0,registry+https://github.com/rust-lang/crates.io-index,54,312,298,16,626,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/portable-atomic-1.15.0
potential_utf,0.1.6,registry+https://github.com/rust-lang/crates.io-index,4,6,2,2,10,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/potential_utf-0.1.6
ppv-lite86,0.2.21,registry+https://github.com/rust-lang/crates.io-index,6,121,47,0,168,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ppv-lite86-0.2.21
proc-macro2,1.0.107,registry+https://github.com/rust-lang/crates.io-index,22,3,3,0,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/proc-macro2-1.0.107
pyo3,0.29.2,registry+https://github.com/rust-lang/crates.io-index,202,1006,193,56,1255,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pyo3-0.29.2
pyo3-build-config,0.29.2,registry+https://github.com/rust-lang/crates.io-index,3,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pyo3-build-config-0.29.2
pyo3-ffi,0.29.2,registry+https://github.com/rust-lang/crates.io-index,109,6,281,1,288,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pyo3-ffi-0.29.2
pyo3-macros,0.29.2,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pyo3-macros-0.29.2
pyo3-macros-backend,0.29.2,registry+https://github.com/rust-lang/crates.io-index,19,39,10,1,50,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pyo3-macros-backend-0.29.2
quote,1.0.47,registry+https://github.com/rust-lang/crates.io-index,17,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quote-1.0.47
rand,0.8.8,registry+https://github.com/rust-lang/crates.io-index,26,13,0,1,14,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand-0.8.8
rand_chacha,0.3.1,registry+https://github.com/rust-lang/crates.io-index,3,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand_chacha-0.3.1
