name,version,source,files,unsafe_blocks,unsafe_fns,unsafe_impls,total,location
serde_json,1.0.151,registry+https://github.com/rust-lang/crates.io-index,69,16,1,0,17,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.151
serde_path_to_error,0.1.20,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_path_to_error-0.1.20
serde_spanned,1.1.1,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_spanned-1.1.1
serde_urlencoded,0.7.1,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_urlencoded-0.7.1
sha2,0.10.9,registry+https://github.com/rust-lang/crates.io-index,17,10,19,0,29,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sha2-0.10.9
shlex,2.0.1,registry+https://github.com/rust-lang/crates.io-index,2,4,2,0,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/shlex-2.0.1
signal-hook-registry,1.4.8,registry+https://github.com/rust-lang/crates.io-index,4,32,7,0,39,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/signal-hook-registry-1.4.8
signature,2.2.0,registry+https://github.com/rust-lang/crates.io-index,9,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/signature-2.2.0
silent-decisions-proof,0.1.0,local,15,0,0,0,0,LOCAL (paper1)
simd-adler32,0.3.10,registry+https://github.com/rust-lang/crates.io-index,10,8,28,0,36,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/simd-adler32-0.3.10
slab,0.4.12,registry+https://github.com/rust-lang/crates.io-index,5,3,3,0,6,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/slab-0.4.12
smallvec,1.16.1,registry+https://github.com/rust-lang/crates.io-index,4,48,15,8,71,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/smallvec-1.16.1
socket2,0.6.5,registry+https://github.com/rust-lang/crates.io-index,6,210,14,6,230,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/socket2-0.6.5
spki,0.7.3,registry+https://github.com/rust-lang/crates.io-index,8,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/spki-0.7.3
stable_deref_trait,1.2.1,registry+https://github.com/rust-lang/crates.io-index,1,0,0,23,23,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/stable_deref_trait-1.2.1
subtle,2.6.1,registry+https://github.com/rust-lang/crates.io-index,2,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/subtle-2.6.1
syn,2.0.119,registry+https://github.com/rust-lang/crates.io-index,97,31,2,5,38,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/syn-2.0.119
syn,3.0.5,registry+https://github.com/rust-lang/crates.io-index,96,32,2,3,37,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/syn-3.0.5
sync_wrapper,1.0.2,registry+https://github.com/rust-lang/crates.io-index,1,3,0,1,4,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sync_wrapper-1.0.2
synstructure,0.13.2,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/synstructure-0.13.2
target-lexicon,0.13.5,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/target-lexicon-0.13.5
target-tuple,1.0.2,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/target-tuple-1.0.2
termcolor,1.4.1,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1
thiserror,1.0.69,registry+https://github.com/rust-lang/crates.io-index,50,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/thiserror-1.0.69
thiserror-impl,1.0.69,registry+https://github.com/rust-lang/crates.io-index,10,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/thiserror-impl-1.0.69
tinystr,0.8.4,registry+https://github.com/rust-lang/crates.io-index,16,18,2,2,22,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tinystr-0.8.4
tinytemplate,1.2.1,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tinytemplate-1.2.1
tokio,1.53.1,registry+https://github.com/rust-lang/crates.io-index,555,764,209,121,1094,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tokio-1.53.1
tokio-macros,2.7.2,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tokio-macros-2.7.2
toml,1.1.6+spec-1.1.0,registry+https://github.com/rust-lang/crates.io-index,39,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/toml-1.1.6+spec-1.1.0
toml_datetime,1.1.1+spec-1.1.0,registry+https://github.com/rust-lang/crates.io-index,4,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/toml_datetime-1.1.1+spec-1.1.0
toml_parser,1.1.3+spec-1.1.0,registry+https://github.com/rust-lang/crates.io-index,15,45,9,0,54,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/toml_parser-1.1.3+spec-1.1.0
toml_writer,1.1.2+spec-1.1.0,registry+https://github.com/rust-lang/crates.io-index,6,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/toml_writer-1.1.2+spec-1.1.0
tower,0.5.3,registry+https://github.com/rust-lang/crates.io-index,120,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tower-0.5.3
tower-layer,0.3.3,registry+https://github.com/rust-lang/crates.io-index,5,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tower-layer-0.3.3
tower-service,0.3.3,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tower-service-0.3.3
tracing,0.1.44,registry+https://github.com/rust-lang/crates.io-index,85,6,0,1,7,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tracing-0.1.44
tracing-core,0.1.36,registry+https://github.com/rust-lang/crates.io-index,20,20,3,5,28,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tracing-core-0.1.36
trybuild,1.0.121,registry+https://github.com/rust-lang/crates.io-index,61,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/trybuild-1.0.121
typenum,1.20.1,registry+https://github.com/rust-lang/crates.io-index,15,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/typenum-1.20.1
unicode-ident,1.0.24,registry+https://github.com/rust-lang/crates.io-index,11,2,0,0,2,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/unicode-ident-1.0.24
untrusted,0.9.0,registry+https://github.com/rust-lang/crates.io-index,5,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/untrusted-0.9.0
ureq,2.12.1,registry+https://github.com/rust-lang/crates.io-index,37,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ureq-2.12.1
url,2.5.8,registry+https://github.com/rust-lang/crates.io-index,9,1,0,0,1,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/url-2.5.8
utf8_iter,1.0.4,registry+https://github.com/rust-lang/crates.io-index,3,10,0,0,10,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/utf8_iter-1.0.4
vcpkg,0.2.15,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/vcpkg-0.2.15
version_check,0.9.5,registry+https://github.com/rust-lang/crates.io-index,4,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/version_check-0.9.5
walkdir,2.5.0,registry+https://github.com/rust-lang/crates.io-index,7,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/walkdir-2.5.0
wasi,0.11.1+wasi-snapshot-preview1,registry+https://github.com/rust-lang/crates.io-index,2,16,46,0,62,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasi-0.11.1+wasi-snapshot-preview1
wasm-bindgen,0.2.128,registry+https://github.com/rust-lang/crates.io-index,19,27,38,33,98,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasm-bindgen-0.2.128
wasm-bindgen-macro,0.2.128,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasm-bindgen-macro-0.2.128
wasm-bindgen-macro-support,0.2.128,registry+https://github.com/rust-lang/crates.io-index,8,24,17,1,42,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasm-bindgen-macro-support-0.2.128
wasm-bindgen-shared,0.2.128,registry+https://github.com/rust-lang/crates.io-index,5,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasm-bindgen-shared-0.2.128
web-sys,0.3.105,registry+https://github.com/rust-lang/crates.io-index,1726,0,17,0,17,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/web-sys-0.3.105
webpki-roots,0.26.11,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/webpki-roots-0.26.11
webpki-roots,1.0.9,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/webpki-roots-1.0.9
winapi-util,0.1.11,registry+https://github.com/rust-lang/crates.io-index,5,20,2,0,22,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/winapi-util-0.1.11
windows-link,0.2.1,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows-link-0.2.1
windows-sys,0.52.0,registry+https://github.com/rust-lang/crates.io-index,235,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows-sys-0.52.0
windows-sys,0.61.2,registry+https://github.com/rust-lang/crates.io-index,249,8925,0,0,8925,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows-sys-0.61.2
windows-targets,0.52.6,registry+https://github.com/rust-lang/crates.io-index,1,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows-targets-0.52.6
windows_aarch64_gnullvm,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_aarch64_gnullvm-0.52.6
windows_aarch64_msvc,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_aarch64_msvc-0.52.6
windows_i686_gnu,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_i686_gnu-0.52.6
windows_i686_gnullvm,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_i686_gnullvm-0.52.6
windows_i686_msvc,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_i686_msvc-0.52.6
windows_x86_64_gnu,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_x86_64_gnu-0.52.6
windows_x86_64_gnullvm,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_x86_64_gnullvm-0.52.6
windows_x86_64_msvc,0.52.6,registry+https://github.com/rust-lang/crates.io-index,2,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/windows_x86_64_msvc-0.52.6
winnow,1.0.4,registry+https://github.com/rust-lang/crates.io-index,100,24,20,0,44,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/winnow-1.0.4
writeable,0.6.4,registry+https://github.com/rust-lang/crates.io-index,15,3,0,0,3,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/writeable-0.6.4
yoke,0.8.3,registry+https://github.com/rust-lang/crates.io-index,12,46,18,26,90,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/yoke-0.8.3
yoke-derive,0.8.2,registry+https://github.com/rust-lang/crates.io-index,4,5,3,3,11,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/yoke-derive-0.8.2
zerocopy,0.8.57,registry+https://github.com/rust-lang/crates.io-index,109,295,58,107,460,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.57
zerocopy-derive,0.8.57,registry+https://github.com/rust-lang/crates.io-index,92,65,1,231,297,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-derive-0.8.57
zerofrom,0.1.8,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerofrom-0.1.8
zerofrom-derive,0.1.7,registry+https://github.com/rust-lang/crates.io-index,3,0,0,0,0,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerofrom-derive-0.1.7
zeroize,1.9.0,registry+https://github.com/rust-lang/crates.io-index,8,33,4,1,38,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zeroize-1.9.0
zerotrie,0.2.5,registry+https://github.com/rust-lang/crates.io-index,33,6,1,1,8,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerotrie-0.2.5
zerovec,0.11.8,registry+https://github.com/rust-lang/crates.io-index,56,121,54,60,235,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerovec-0.11.8
zerovec-derive,0.11.6,registry+https://github.com/rust-lang/crates.io-index,12,5,1,6,12,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerovec-derive-0.11.6
zlib-rs,0.6.7,registry+https://github.com/rust-lang/crates.io-index,45,354,76,5,435,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zlib-rs-0.6.7
zmij,1.0.23,registry+https://github.com/rust-lang/crates.io-index,9,59,11,0,70,/home/z/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zmij-1.0.23
