context_size_label,context_size_bytes,lower_ns,mean_ns,upper_ns,confidence_level
64B,64,5330.986960681881,5359.077870655998,5404.876761910822,0.95
512B,512,5807.9553427949495,5815.734919149795,5824.860299495458,0.95
4KiB,4096,7620.734077406005,7649.501638230299,7681.688301469759,0.95
