trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,2567984,1245.25,2062219,381,548,845,845,388.36
0,full_pipeline,2,64,2567984,2154.67,2383641,459,1134,3901,4420,682.25
1,full_pipeline,1,64,2567984,1280.11,2006061,379,436,519,519,383.08
1,full_pipeline,2,64,2567984,2005.27,2561230,450,606,712,727,634.19
2,full_pipeline,1,64,2567984,1235.57,2078384,379,426,460,460,381.45
2,full_pipeline,2,64,2567984,2024.03,2537494,451,598,729,731,645.42
3,full_pipeline,1,64,2567984,1236.28,2077188,378,459,573,573,385.49
3,full_pipeline,2,64,2567984,1985.50,2586741,449,600,726,727,656.90
4,full_pipeline,1,64,2567984,1238.93,2072740,378,416,470,470,381.70
4,full_pipeline,2,64,2567984,2723.94,1885492,639,974,2812,3888,850.81
0,verdict_only,1,64,2579723,1252.01,2060473,304,543,1670,1670,310.02
0,verdict_only,2,64,2579723,2143.37,2407163,402,571,783,984,598.37
1,verdict_only,1,64,2579723,1251.57,2061196,302,352,369,369,307.55
1,verdict_only,2,64,2579723,2088.77,2470088,403,539,687,695,575.13
2,verdict_only,1,64,2579723,1266.35,2037126,304,346,378,378,307.80
2,verdict_only,2,64,2579723,2188.73,2357280,416,571,768,816,592.65
3,verdict_only,1,64,2579723,1250.86,2062354,303,344,372,372,308.35
3,verdict_only,2,64,2579723,2097.79,2459472,398,523,651,667,564.93
4,verdict_only,1,64,2579723,1256.28,2053462,305,458,1016,1016,310.68
4,verdict_only,2,64,2579723,2381.10,2166831,462,785,872,1004,616.48
0,status_quo_async_log,1,64,2525781,2104.69,1200071,701,865,925,925,714.46
0,status_quo_async_log,2,64,2525781,2848.26,1773558,704,1195,3228,3557,943.55
1,status_quo_async_log,1,64,2525781,2119.03,1191953,710,857,931,931,721.03
1,status_quo_async_log,2,64,2525781,2803.80,1801683,702,776,882,892,960.90
2,status_quo_async_log,1,64,2525781,2109.51,1197332,703,861,979,979,714.18
2,status_quo_async_log,2,64,2525781,2828.86,1785722,703,785,910,920,939.72
3,status_quo_async_log,1,64,2525781,2097.20,1204357,701,842,935,935,712.03
3,status_quo_async_log,2,64,2525781,2837.44,1780321,715,776,902,903,967.12
4,status_quo_async_log,1,64,2525781,2111.02,1196477,708,860,882,882,718.77
4,status_quo_async_log,2,64,2525781,2858.87,1766981,718,826,962,1012,983.19
0,full_pipeline,1,512,1361085,1171.12,1162210,735,904,996,996,746.84
0,full_pipeline,2,512,1361085,1869.51,1456090,861,2018,5791,7744,1218.60
1,full_pipeline,1,512,1361085,1192.76,1141121,736,905,993,993,750.12
1,full_pipeline,2,512,1361085,1915.64,1421022,888,1139,3236,3796,1234.93
2,full_pipeline,1,512,1361085,1169.10,1164216,734,786,810,810,744.85
2,full_pipeline,2,512,1361085,1923.98,1414863,893,1121,3443,3772,1234.69
3,full_pipeline,1,512,1361085,1170.43,1162894,734,797,833,833,745.52
3,full_pipeline,2,512,1361085,1977.05,1376887,902,1212,4046,4094,1304.25
4,full_pipeline,1,512,1361085,1165.51,1167799,734,782,817,817,743.06
4,full_pipeline,2,512,1361085,1885.29,1443897,882,1102,3301,3750,1230.33
0,verdict_only,1,512,1361758,1194.43,1140093,304,344,366,366,308.83
0,verdict_only,2,512,1361758,1851.56,1470930,421,571,1840,2892,629.04
1,verdict_only,1,512,1361758,1176.58,1157383,305,367,370,370,310.69
1,verdict_only,2,512,1361758,1868.47,1457621,434,692,1857,2126,655.16
2,verdict_only,1,512,1361758,1174.15,1159780,304,368,411,411,309.92
2,verdict_only,2,512,1361758,1876.61,1451294,433,593,1879,2894,632.77
3,verdict_only,1,512,1361758,1172.21,1161697,304,365,398,398,308.85
3,verdict_only,2,512,1361758,2203.38,1236060,432,581,1833,3154,602.61
4,verdict_only,1,512,1361758,1172.84,1161074,305,366,384,384,309.01
4,verdict_only,2,512,1361758,1879.48,1449082,436,600,1427,1710,638.25
0,status_quo_async_log,1,512,1360346,5305.54,256401,3571,7557,14212,14212,3637.46
0,status_quo_async_log,2,512,1360346,7172.73,379310,3607,4389,6777,8733,4867.44
1,status_quo_async_log,1,512,1360346,5314.84,255952,3584,4038,4560,4560,3642.41
1,status_quo_async_log,2,512,1360346,7244.28,375564,3608,4879,6695,7291,4989.91
2,status_quo_async_log,1,512,1360346,5381.57,252779,3616,4432,7151,7151,3681.83
2,status_quo_async_log,2,512,1360346,7166.84,379622,3589,6828,20030,21887,4923.84
3,status_quo_async_log,1,512,1360346,5298.26,256754,3578,4289,4201,4201,3633.00
3,status_quo_async_log,2,512,1360346,7105.79,382884,3584,4367,8444,8872,4890.01
4,status_quo_async_log,1,512,1360346,5314.53,255967,3588,4244,4539,4539,3641.80
4,status_quo_async_log,2,512,1360346,7139.56,381073,3580,4222,5848,6004,4886.24
0,full_pipeline,1,4096,1000000,1436.93,695930,1274,1367,1527,1527,1293.69
0,full_pipeline,2,4096,1000000,2133.13,937589,1381,1658,4481,4499,1919.37
1,full_pipeline,1,4096,1000000,1431.63,698506,1274,1353,1411,1411,1289.83
1,full_pipeline,2,4096,1000000,2136.92,935928,1370,1552,4436,4460,1896.13
2,full_pipeline,1,4096,1000000,1442.65,693170,1275,1417,1776,1776,1299.69
2,full_pipeline,2,4096,1000000,2127.58,940035,1378,1679,4440,4504,1939.03
3,full_pipeline,1,4096,1000000,1438.53,695153,1273,1366,1406,1406,1296.45
3,full_pipeline,2,4096,1000000,2120.98,942961,1380,1652,4529,4546,1923.29
4,full_pipeline,1,4096,1000000,1434.28,697212,1273,1342,1430,1430,1291.88
4,full_pipeline,2,4096,1000000,2150.06,930205,1383,1662,4472,4590,1940.59
0,verdict_only,1,4096,1000000,1453.72,687889,305,466,645,645,316.99
0,verdict_only,2,4096,1000000,2152.19,929284,442,613,3259,3265,679.55
1,verdict_only,1,4096,1000000,1440.00,694445,304,355,402,402,308.00
1,verdict_only,2,4096,1000000,2367.88,844637,543,699,3639,3762,886.35
2,verdict_only,1,4096,1000000,1432.07,698291,303,344,370,370,307.71
2,verdict_only,2,4096,1000000,2154.27,928387,423,654,3680,3680,645.99
3,verdict_only,1,4096,1000000,1451.16,689106,303,424,1289,1289,314.61
3,verdict_only,2,4096,1000000,2164.12,924161,434,592,4758,6383,605.39
4,verdict_only,1,4096,1000000,1446.10,691515,303,348,384,384,307.46
4,verdict_only,2,4096,1000000,2137.21,935801,421,568,3326,3348,581.06
0,status_quo_async_log,1,4096,1000000,28510.96,35074,26544,33014,41376,41376,27067.86
