trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
0,full_pipeline,1,64,1000000,6218.96,160799,5460,8430,11189,11189,5825.35
0,full_pipeline,2,64,1000000,6331.31,315890,5540,8374,10310,10383,5913.83
0,full_pipeline,4,64,1000000,6371.58,627788,5495,9013,11447,11862,5862.10
1,full_pipeline,1,64,1000000,6236.36,160350,5464,8112,13255,13255,5837.42
1,full_pipeline,2,64,1000000,6361.18,314407,5548,8301,10857,11646,5891.09
1,full_pipeline,4,64,1000000,6201.94,644960,5480,8168,9614,9888,5772.18
2,full_pipeline,1,64,1000000,6189.97,161552,5460,7991,10472,10472,5792.08
2,full_pipeline,2,64,1000000,6394.92,312748,5528,9184,11458,12783,5871.57
2,full_pipeline,4,64,1000000,6379.49,627009,5533,7459,10751,11505,5863.99
3,full_pipeline,1,64,1000000,6132.20,163074,5463,6546,12315,12315,5739.92
3,full_pipeline,2,64,1000000,6134.04,326049,5463,10254,10003,10409,5733.31
3,full_pipeline,4,64,1000000,6345.55,630363,5538,8850,10919,11757,5893.67
4,full_pipeline,1,64,1000000,6143.96,162761,5456,7589,9775,9775,5758.30
4,full_pipeline,2,64,1000000,6451.79,309992,5662,8940,11686,12032,6018.58
4,full_pipeline,4,64,1000000,6484.07,616897,5605,8308,11407,12988,5954.75
0,full_pipeline_durable,1,64,6971,1430.26,4874,241656,359713,470786,470786,204047.60
0,full_pipeline_durable,2,64,6971,578.51,24100,75583,110755,157904,161660,78543.18
0,full_pipeline_durable,4,64,6971,1153.10,24182,153783,284534,361788,418267,155929.66
1,full_pipeline_durable,1,64,6971,102.44,68050,12539,20486,40072,40072,13789.84
1,full_pipeline_durable,2,64,6971,545.28,25568,70450,101839,139200,140294,74179.83
1,full_pipeline_durable,4,64,6971,1076.41,25905,142705,225267,349416,374794,146263.72
2,full_pipeline_durable,1,64,6971,109.09,63899,12535,20701,41861,41861,14668.97
2,full_pipeline_durable,2,64,6971,528.44,26383,67803,92027,135821,139051,71669.19
2,full_pipeline_durable,4,64,6971,1038.74,26844,139065,211820,337664,346338,141001.33
3,full_pipeline_durable,1,64,6971,99.82,69839,12485,17259,38744,38744,13433.09
3,full_pipeline_durable,2,64,6971,545.51,25558,72317,106148,148555,155994,74152.16
3,full_pipeline_durable,4,64,6971,1031.68,27028,136307,204572,348044,369240,140029.78
4,full_pipeline_durable,1,64,6971,101.25,68851,12440,20676,40968,40968,13618.44
4,full_pipeline_durable,2,64,6971,519.69,26828,67922,90813,128632,131438,70539.94
4,full_pipeline_durable,4,64,6971,1025.47,27192,133316,189892,318855,326321,138447.53
0,verdict_only,1,64,1000000,6119.55,163411,3794,5660,7179,7179,3985.58
0,verdict_only,2,64,1000000,6183.22,323456,3808,5216,6571,7045,4006.14
0,verdict_only,4,64,1000000,6364.84,628452,3810,5358,7062,7276,4042.46
1,verdict_only,1,64,1000000,6102.56,163866,3794,4722,6848,6848,3968.35
1,verdict_only,2,64,1000000,6355.82,314672,3859,6552,7387,7425,4109.35
