trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
3,verdict_only,2,512,11183511,11526.74,1940446,340,398,470,490,348.63
3,verdict_only,4,512,11183511,13918.66,3213961,503,533,550,551,502.68
4,verdict_only,1,512,11183511,11318.33,988088,330,350,432,432,330.22
4,verdict_only,2,512,11183511,11551.27,1936326,340,422,472,472,349.34
4,verdict_only,4,512,11183511,13912.96,3215278,498,533,546,551,499.40
0,status_quo_async_log,1,512,11102253,22905.59,484696,1913,2009,2064,2064,1886.36
0,status_quo_async_log,2,512,11102253,25072.72,885604,2047,2146,2926,3305,2027.40
0,status_quo_async_log,4,512,11102253,47668.67,931618,3990,4086,4131,4166,3986.76
1,status_quo_async_log,1,512,11102253,23826.39,465965,2053,2083,2193,2193,1969.62
1,status_quo_async_log,2,512,11102253,23898.12,929132,1992,2099,2458,2503,1951.62
1,status_quo_async_log,4,512,11102253,47282.30,939231,3960,4088,4135,4182,3949.35
2,status_quo_async_log,1,512,11102253,22840.15,486085,1912,1989,2670,2670,1878.98
2,status_quo_async_log,2,512,11102253,25239.79,879742,2062,2138,2184,2203,2084.45
2,status_quo_async_log,4,512,11102253,46469.44,955661,3890,4080,4130,4187,3877.38
3,status_quo_async_log,1,512,11102253,23535.93,471715,2018,2073,2303,2303,1943.28
3,status_quo_async_log,2,512,11102253,23394.40,949138,1926,2057,2077,2094,1911.52
3,status_quo_async_log,4,512,11102253,47251.19,939850,3954,4088,4149,4192,3912.46
4,status_quo_async_log,1,512,11102253,22895.72,484905,1913,2001,2616,2616,1887.35
4,status_quo_async_log,2,512,11102253,23323.15,952037,1931,2058,2125,2197,1901.24
4,status_quo_async_log,4,512,11102253,48233.71,920705,4014,4131,4171,4208,3978.31
0,full_pipeline,1,4096,5613263,10653.65,526886,1722,1743,1835,1835,1732.11
0,full_pipeline,2,4096,5613263,10777.20,1041693,1728,1772,1835,1848,1746.76
0,full_pipeline,4,4096,5613263,14367.58,1562758,2305,2411,2458,2468,2324.57
1,full_pipeline,1,4096,5613263,10705.12,524353,1723,1877,2364,2364,1739.92
1,full_pipeline,2,4096,5613263,10820.96,1037480,1737,1821,1841,1849,1752.28
1,full_pipeline,4,4096,5613263,14286.05,1571676,2292,2412,2442,2444,2314.83
2,full_pipeline,1,4096,5613263,10664.98,526327,1722,1752,1849,1849,1734.45
2,full_pipeline,2,4096,5613263,10801.72,1039328,1733,1788,1872,1893,1752.86
2,full_pipeline,4,4096,5613263,14279.26,1572424,2292,2414,2434,2435,2313.26
3,full_pipeline,1,4096,5613263,10663.25,526412,1722,1763,1860,1860,1734.57
3,full_pipeline,2,4096,5613263,10784.35,1041001,1733,1784,1861,1862,1750.19
3,full_pipeline,4,4096,5613263,14302.56,1569863,2296,2415,2443,2444,2316.69
4,full_pipeline,1,4096,5613263,10657.54,526694,1722,1743,1772,1772,1732.73
4,full_pipeline,2,4096,5613263,10820.47,1037527,1737,1783,1885,1950,1751.49
4,full_pipeline,4,4096,5613263,14324.59,1567448,2299,2415,2442,2444,2319.77
0,verdict_only,1,4096,5692264,10847.13,524771,331,395,442,442,333.41
0,verdict_only,2,4096,5692264,10933.64,1041239,337,414,462,471,344.88
0,verdict_only,4,4096,5692264,14865.59,1531662,516,579,601,651,514.92
1,verdict_only,1,4096,5692264,10824.12,525887,321,347,450,450,327.79
1,verdict_only,2,4096,5692264,11040.99,1031115,341,380,476,482,348.04
1,verdict_only,4,4096,5692264,14852.51,1533011,508,571,591,620,506.56
2,verdict_only,1,4096,5692264,10822.66,525958,321,343,427,427,327.99
2,verdict_only,2,4096,5692264,10954.35,1039270,332,444,489,508,343.75
2,verdict_only,4,4096,5692264,14457.38,1574909,530,571,586,591,526.97
3,verdict_only,1,4096,5692264,10816.14,526275,321,341,443,443,328.00
3,verdict_only,2,4096,5692264,10931.51,1041441,335,373,473,482,343.53
3,verdict_only,4,4096,5692264,14468.36,1573714,531,572,589,591,526.75
4,verdict_only,1,4096,5692264,10829.42,525630,321,349,450,450,328.20
4,verdict_only,2,4096,5692264,11010.44,1033975,345,391,493,506,347.50
4,verdict_only,4,4096,5692264,14876.88,1530500,517,576,600,645,515.52
0,status_quo_async_log,1,4096,5710534,89059.39,64121,14872,14936,21040,21040,14856.60
0,status_quo_async_log,2,4096,5710534,89849.49,127113,14900,15227,25140,29130,14922.72
0,status_quo_async_log,4,4096,5710534,173836.14,131400,28512,29656,38312,38939,28558.59
1,status_quo_async_log,1,4096,5710534,83417.52,68457,13635,14931,22120,22120,13865.08
1,status_quo_async_log,2,4096,5710534,89556.48,127529,14767,14840,21798,22068,14843.67
1,status_quo_async_log,4,4096,5710534,168979.07,135177,27792,32010,39868,45171,27599.43
2,status_quo_async_log,1,4096,5710534,80416.20,71012,12856,14873,19522,19522,13329.57
2,status_quo_async_log,2,4096,5710534,92636.39,123289,15217,15293,22029,22110,15198.58
2,status_quo_async_log,4,4096,5710534,178720.36,127809,29397,29933,47786,76667,29724.62
3,status_quo_async_log,1,4096,5710534,85272.47,66968,14617,14841,21260,21260,14204.23
3,status_quo_async_log,2,4096,5710534,90886.18,125663,14837,19367,24073,24480,14868.16
3,status_quo_async_log,4,4096,5710534,172964.70,132062,28770,29864,39999,45466,28527.14
4,status_quo_async_log,1,4096,5710534,89380.54,63890,14762,14820,21092,21092,14905.70
4,status_quo_async_log,2,4096,5710534,93360.80,122333,15332,15424,22484,23469,15296.54
4,status_quo_async_log,4,4096,5710534,174322.18,131034,28871,29846,38284,38300,28938.09
