trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
1,status_quo_digest_log,1,64,10368335,6309.92,1643181,474,815,949,949,495.77
1,status_quo_digest_log,2,64,10368335,6896.75,3006730,509,852,1027,1091,534.96
1,status_quo_digest_log,4,64,10368335,6931.83,5983030,493,856,1006,1097,521.41
2,status_quo_digest_log,1,64,10368335,6722.37,1542362,505,968,1021,1021,530.92
2,status_quo_digest_log,2,64,10368335,6877.95,3014949,504,809,938,974,531.13
2,status_quo_digest_log,4,64,10368335,6806.36,6093322,492,849,948,1030,519.50
3,status_quo_digest_log,1,64,10368335,6504.08,1594128,489,791,846,846,510.41
3,status_quo_digest_log,2,64,10368335,6955.86,2981179,501,970,1097,1226,528.79
3,status_quo_digest_log,4,64,10368335,6701.96,6188240,488,868,945,1007,514.25
4,status_quo_digest_log,1,64,10368335,6403.15,1619256,477,789,957,957,502.72
4,status_quo_digest_log,2,64,10368335,6883.90,3012345,518,764,986,1001,546.21
4,status_quo_digest_log,4,64,10368335,7041.12,5890159,492,909,951,1029,523.00
0,full_pipeline,1,512,1000000,6853.58,145909,6089,10937,10387,10387,6413.14
0,full_pipeline,2,512,1000000,6855.76,291725,6077,8317,10630,11121,6385.40
0,full_pipeline,4,512,1000000,6920.66,577980,6094,9424,11015,12112,6439.63
1,full_pipeline,1,512,1000000,6800.55,147047,6084,6766,10794,10794,6383.22
1,full_pipeline,2,512,1000000,6797.40,294230,6073,9495,10176,10299,6357.55
1,full_pipeline,4,512,1000000,6932.04,577031,6072,8081,10762,11015,6398.51
2,full_pipeline,1,512,1000000,6854.83,145883,6094,11420,13709,13709,6434.65
2,full_pipeline,2,512,1000000,6797.49,294226,6074,8085,10542,10776,6367.52
2,full_pipeline,4,512,1000000,6874.85,581831,6078,10002,10767,11859,6415.09
3,full_pipeline,1,512,1000000,6717.73,148860,6066,6420,10490,10490,6307.22
3,full_pipeline,2,512,1000000,6787.62,294654,6073,8824,11122,11807,6367.69
3,full_pipeline,4,512,1000000,6904.60,579324,6070,8431,10454,10904,6425.78
4,full_pipeline,1,512,1000000,6745.52,148247,6077,7985,10507,10507,6333.62
4,full_pipeline,2,512,1000000,6774.51,295224,6074,8282,10551,11003,6356.98
4,full_pipeline,4,512,1000000,7268.44,550324,6073,7517,11017,11390,6658.78
0,full_pipeline_durable,1,512,16141,4480.31,3603,226492,332984,409617,409617,263731.15
0,full_pipeline_durable,2,512,16141,10265.89,3145,277455,1248840,9988411,10485505,594411.49
0,full_pipeline_durable,4,512,16141,20462.62,3155,268403,555526,25730871,33916869,1100854.01
1,full_pipeline_durable,1,512,16141,4418.14,3653,216672,334056,420904,420904,260265.57
1,full_pipeline_durable,2,512,16141,10416.84,3099,288621,5590732,10720835,11080612,598441.30
1,full_pipeline_durable,4,512,16141,20102.71,3212,263712,500904,24077980,30458200,1078059.27
2,full_pipeline_durable,1,512,16141,4936.51,3270,241551,369641,489017,489017,287158.17
2,full_pipeline_durable,2,512,16141,10467.19,3084,302957,1322700,9271867,9639997,594542.89
2,full_pipeline_durable,4,512,16141,19930.03,3240,261150,491882,28820312,29973704,1121673.08
3,full_pipeline_durable,1,512,16141,4856.84,3323,243740,362096,470461,470461,286642.35
3,full_pipeline_durable,2,512,16141,10034.66,3217,274080,1244904,9279628,9880449,579103.18
3,full_pipeline_durable,4,512,16141,20374.49,3169,263548,675457,37307148,55792911,1123798.78
4,full_pipeline_durable,1,512,16141,5003.64,3226,250876,398638,490523,490523,294977.86
4,full_pipeline_durable,2,512,16141,10605.18,3044,280175,922150,11160641,11882020,620513.00
4,full_pipeline_durable,4,512,16141,20488.73,3151,262488,512632,29180430,37838078,1036773.72
0,verdict_only,1,512,1194588,8077.45,147892,3992,5863,7493,7493,4168.35
0,verdict_only,2,512,1194588,8113.23,294479,3998,6016,7398,7462,4185.91
0,verdict_only,4,512,1194588,8517.06,561033,4043,5738,7424,7601,4279.92
1,verdict_only,1,512,1194588,8123.23,147058,3990,5594,7706,7706,4192.00
1,verdict_only,2,512,1194588,8126.96,293981,3994,6003,7323,7340,4182.47
1,verdict_only,4,512,1194588,8597.92,555757,4007,6341,7210,7456,4263.39
2,verdict_only,1,512,1194588,8092.55,147616,4003,6494,6983,6983,4175.07
2,verdict_only,2,512,1194588,8132.30,293789,3999,6122,7171,7242,4188.26
2,verdict_only,4,512,1194588,8438.35,566266,4001,5813,7241,7413,4225.57
3,verdict_only,1,512,1194588,8146.21,146643,3994,7677,7073,7073,4206.38
3,verdict_only,2,512,1194588,8127.26,293971,3991,6840,7418,7435,4192.74
3,verdict_only,4,512,1194588,8203.83,582454,3999,5441,7332,7550,4198.37
4,verdict_only,1,512,1194588,8113.75,147230,3993,5239,7700,7700,4190.47
4,verdict_only,2,512,1194588,8239.03,289983,3997,6646,7358,7386,4244.94
4,verdict_only,4,512,1194588,8226.80,580827,4007,6354,7415,7570,4221.02
0,status_quo_async_log,1,512,1437267,5480.95,262229,3372,4258,6740,6740,3544.35
0,status_quo_async_log,2,512,1437267,5492.66,523341,3364,3977,6588,6714,3531.58
